nsize	lsize	n	add	get	del
4	4	1	12.670	0.600	9.910
4	4	2	10.220	3.760	16.180
4	4	3	96.432	47.311	115.663
4	4	4	1160.024	660.904	1397.709
4	4	5	12654.983	8372.726	17226.660
4	6	1	11.970	0.390	7.780
4	6	2	9.750	3.931	11.260
4	6	3	77.072	45.891	88.251
4	6	4	948.239	621.553	1113.403
4	6	5	12065.491	8194.271	14911.802
4	8	1	10.410	0.450	6.960
4	8	2	10.030	3.870	11.340
4	8	3	86.022	49.941	101.302
4	8	4	1058.812	658.423	1315.328
4	8	5	13226.656	8702.791	15321.511
4	12	1	5.930	0.280	3.330
4	12	2	10.680	3.430	11.201
4	12	3	76.931	44.931	80.552
4	12	4	1073.682	583.722	1026.532
4	12	5	13135.265	8452.456	15244.039
4	16	1	7.810	0.240	3.610
4	16	2	10.411	3.350	10.830
4	16	3	76.232	44.811	77.041
4	16	4	942.220	579.262	997.181
4	16	5	13169.355	8935.856	14606.096
4	24	1	7.350	0.280	3.141
4	24	2	11.150	3.550	10.890
4	24	3	79.162	45.591	85.462
4	24	4	973.390	626.343	1076.233
4	24	5	13657.676	9344.185	15264.700
4	32	1	7.800	0.250	3.440
4	32	2	10.600	3.110	10.440
4	32	3	81.152	44.731	81.862
4	32	4	943.910	591.042	1030.791
4	32	5	12717.956	9464.378	13957.821
4	48	1	6.090	0.250	3.230
4	48	2	11.800	3.210	10.611
4	48	3	85.302	44.350	87.932
4	48	4	930.409	592.062	996.701
4	48	5	14256.228	9831.454	15461.964
4	64	1	6.581	0.270	3.100
4	64	2	11.380	3.230	11.230
4	64	3	77.961	43.151	75.822
4	64	4	964.790	579.432	998.501
4	64	5	12643.904	8844.794	12711.565
4	96	1	7.250	0.230	3.330
4	96	2	10.940	3.130	10.390
4	96	3	84.892	42.430	86.482
4	96	4	980.101	612.683	1027.901
4	96	5	13974.383	8928.687	14653.615
4	128	1	6.840	0.260	3.210
4	128	2	8.210	2.871	7.190
4	128	3	80.892	46.081	78.031
4	128	4	1020.461	573.352	976.071
4	128	5	13436.881	9015.219	12839.328
4	192	1	7.440	0.250	2.730
4	192	2	6.491	2.870	5.660
4	192	3	89.022	43.091	86.122
4	192	4	963.780	567.262	904.589
4	192	5	13289.008	8590.060	13068.482
4	256	1	6.930	0.240	1.720
4	256	2	6.930	2.970	5.581
4	256	3	77.551	40.861	71.282
4	256	4	967.940	591.203	917.909
4	256	5	13107.063	8546.509	12328.067
4	384	1	5.340	0.250	2.180
4	384	2	7.330	2.910	5.840
4	384	3	79.951	40.841	76.422
4	384	4	952.180	606.262	884.909
4	384	5	13773.468	8360.364	13030.603
4	512	1	4.490	0.271	2.020
4	512	2	7.330	3.050	5.730
4	512	3	78.302	40.011	72.311
4	512	4	1018.372	578.942	940.169
4	512	5	13818.219	8167.641	13143.055
6	4	1	5.921	0.270	3.910
6	4	2	11.220	3.280	10.890
6	4	3	88.751	45.531	109.543
6	4	4	1074.572	621.023	1487.891
6	4	5	13979.632	8662.672	19211.660
6	6	1	11.910	0.310	3.960
6	6	2	8.440	3.441	8.610
6	6	3	76.802	42.760	88.392
6	6	4	954.221	603.592	1181.294
6	6	5	14139.525	10576.650	16441.834
6	8	1	10.801	0.320	6.910
6	8	2	10.820	3.390	10.961
6	8	3	89.272	44.141	101.012
6	8	4	1074.682	600.773	1378.158
6	8	5	13694.936	8044.229	16504.674
6	12	1	7.210	0.260	3.481
6	12	2	10.480	3.210	11.940
6	12	3	78.711	42.651	85.042
6	12	4	937.110	576.202	1080.342
6	12	5	12708.555	8620.480	14803.749
6	16	1	6.651	0.270	3.220
6	16	2	9.980	3.390	10.430
6	16	3	70.641	42.591	72.391
6	16	4	873.798	584.942	1001.171
6	16	5	11868.709	8289.104	13325.067
6	24	1	6.050	0.250	3.550
6	24	2	10.000	3.080	10.781
6	24	3	77.461	43.451	83.152
6	24	4	895.929	569.292	1007.731
6	24	5	12412.779	8857.034	13906.851
6	32	1	5.140	0.280	3.030
6	32	2	9.930	3.100	11.121
6	32	3	69.391	41.191	74.712
6	32	4	889.688	575.412	962.501
6	32	5	11756.766	8977.008	13047.692
6	48	1	5.320	0.240	3.120
6	48	2	10.430	3.160	10.901
6	48	3	80.602	44.900	88.512
6	48	4	901.558	578.952	964.210
6	48	5	12026.891	8451.098	13833.398
6	64	1	6.060	0.260	3.181
6	64	2	10.190	3.110	10.850
6	64	3	72.882	42.571	71.851
6	64	4	931.119	562.412	975.880
6	64	5	12012.792	9034.849	12676.635
6	96	1	5.880	0.260	3.200
6	96	2	10.920	3.190	13.951
6	96	3	83.342	43.111	89.151
6	96	4	939.609	572.812	953.870
6	96	5	12901.229	8672.081	14205.906
6	128	1	6.990	0.260	3.080
6	128	2	7.840	2.970	6.990
6	128	3	80.071	42.821	76.882
6	128	4	954.220	553.611	972.391
6	128	5	12451.311	8472.847	12348.259
6	192	1	5.000	0.270	2.510
6	192	2	7.160	2.891	5.830
6	192	3	80.952	45.021	76.441
6	192	4	920.820	575.442	870.958
6	192	5	12627.124	8596.720	12862.540
6	256	1	5.010	0.250	1.880
6	256	2	7.631	3.000	5.660
6	256	3	76.342	39.560	79.532
6	256	4	940.460	566.531	895.139
6	256	5	12318.337	8319.845	11894.038
6	384	1	8.280	2.300	2.170
6	384	2	7.430	2.980	5.750
6	384	3	78.192	40.261	74.241
6	384	4	968.620	587.913	868.528
6	384	5	13188.556	8036.778	12570.503
6	512	1	5.070	0.260	1.970
6	512	2	7.411	2.820	5.900
6	512	3	78.632	40.580	72.682
6	512	4	1000.411	591.052	912.759
6	512	5	13554.503	7796.874	12535.531
8	4	1	5.751	0.280	3.790
8	4	2	10.380	3.120	10.860
8	4	3	81.821	45.071	104.362
8	4	4	1020.781	599.242	1369.239
8	4	5	12752.587	8329.005	16992.016
8	6	1	7.081	0.260	3.630
8	6	2	8.170	3.340	8.130
8	6	3	83.512	48.651	103.942
8	6	4	941.189	597.893	1151.514
8	6	5	11892.898	8477.588	14624.626
8	8	1	9.140	0.310	6.270
8	8	2	10.051	3.080	10.230
8	8	3	85.212	43.371	121.252
8	8	4	1012.381	595.482	1259.376
8	8	5	12594.043	8206.432	15725.278
8	12	1	7.500	0.300	3.390
8	12	2	10.590	3.300	11.050
8	12	3	77.832	42.631	80.122
8	12	4	879.958	554.562	1058.552
8	12	5	11873.729	8305.974	14263.527
8	16	1	6.851	0.250	3.230
8	16	2	9.720	3.140	10.370
8	16	3	65.731	45.481	80.421
8	16	4	831.947	545.432	954.689
8	16	5	11129.933	8217.771	12886.939
8	24	1	6.431	0.280	3.020
8	24	2	10.000	3.050	10.680
8	24	3	72.681	43.681	82.382
8	24	4	859.028	573.702	1001.121
8	24	5	11688.935	8544.729	13436.221
8	32	1	6.030	0.250	3.050
8	32	2	9.940	3.140	10.580
8	32	3	70.242	42.991	76.361
8	32	4	843.917	570.732	950.680
8	32	5	11300.097	8612.609	12710.905
8	48	1	5.470	0.260	3.240
8	48	2	11.020	3.180	13.791
8	48	3	76.871	45.541	85.722
8	48	4	871.219	562.211	927.440
8	48	5	11920.988	8164.071	13355.988
8	64	1	5.511	0.280	3.040
8	64	2	10.340	3.160	13.400
8	64	3	70.741	40.371	73.461
8	64	4	883.528	549.592	934.789
8	64	5	11328.377	8405.416	12200.814
8	96	1	6.760	0.260	3.100
8	96	2	10.420	3.150	10.500
8	96	3	85.451	42.671	87.312
8	96	4	923.280	557.661	952.540
8	96	5	12728.307	8404.186	13874.590
8	128	1	6.321	0.250	3.220
8	128	2	8.670	2.760	6.960
8	128	3	76.752	42.351	77.542
8	128	4	944.439	561.232	972.580
8	128	5	12085.563	8358.564	12178.915
8	192	1	5.820	0.250	1.971
8	192	2	7.550	2.850	5.600
8	192	3	79.682	42.321	74.611
8	192	4	968.620	589.262	869.108
8	192	5	12638.064	8253.492	12726.105
8	256	1	4.900	0.250	1.810
8	256	2	6.960	2.780	5.730
8	256	3	76.871	39.441	71.051
8	256	4	929.979	566.772	893.448
8	256	5	11943.040	8040.607	11783.217
8	384	1	5.320	0.230	2.000
8	384	2	7.330	2.940	5.800
8	384	3	80.132	40.311	75.581
8	384	4	914.210	626.313	853.427
8	384	5	12852.299	7982.196	12386.118
8	512	1	5.360	0.260	2.010
8	512	2	7.690	2.980	5.680
8	512	3	78.621	39.641	72.052
8	512	4	988.950	589.893	905.558
8	512	5	13117.374	7722.312	12387.680
12	4	1	8.550	0.260	7.350
12	4	2	9.791	3.220	10.380
12	4	3	87.942	41.781	105.692
12	4	4	1007.871	567.072	1337.958
12	4	5	12340.938	8107.738	16004.734
12	6	1	9.220	0.250	6.790
12	6	2	10.661	3.070	10.560
12	6	3	73.212	38.850	80.762
12	6	4	897.539	573.222	1112.843
12	6	5	11248.955	8137.620	14258.568
12	8	1	6.931	0.300	3.680
12	8	2	9.650	3.290	11.110
12	8	3	81.871	43.491	95.582
12	8	4	1007.080	600.613	1259.826
12	8	5	12910.250	8636.280	15794.520
12	12	1	6.300	0.290	3.320
12	12	2	7.600	3.410	8.540
12	12	3	79.692	42.761	81.041
12	12	4	883.898	625.423	1021.341
12	12	5	12655.645	8928.137	14246.968
